budget,building_seed,row_seed,support_id,context_rows,anomalies,normals,selected_buildings,observed_buildings,full_anomalies,full_normals,raw_index_sha256,reused
50,2.0,0,building_seed2,50000,25000,25000,50,50,55464,749989,d125849ae34df0e19d23a79e140d2f26b66178d82e139a6c6c7fa7f51e4b3684,False
50,2.0,1,building_seed2,50000,25000,25000,50,50,55464,749989,10b07fa6bda58f34f5e94d870d202a63943b9afa2dff11807b5532d333b513fa,False
400,3.0,0,building_seed3,50000,25000,25000,400,400,366677,5042850,8828f762eb8c02fcd5896b3f095afa2f417dbc0a68aeebf12942899635ce4393,False
400,3.0,1,building_seed3,50000,25000,25000,400,400,366677,5042850,9e94aca1c5d7d4193da3e5ee1de33f67011aa0031a9d16bae5ec52bd63a92633,False
400,4.0,0,building_seed4,50000,25000,25000,400,400,385304,5112246,f71d23ebdeb199617779d06dd2237d08b2ca4652254c9b66b4f011da3f7fcdbc,False
400,4.0,1,building_seed4,50000,25000,25000,400,400,385304,5112246,f39a57c018c844b68d6bb67ab74b5a3ee5338d9da67c84cb04806236430ff70a,False
200,3.0,0,building_seed3,50000,25000,25000,200,200,141172,2505146,ad9ab252e32d6ab054d45749cf5dffbc39011ab17c39293be6eab274097cda79,False
200,3.0,1,building_seed3,50000,25000,25000,200,200,141172,2505146,bc7224d95706d9f8d176d08407b086ff97372a25c8ea4b9b34cbacb6c3ef14dd,False
200,4.0,0,building_seed4,50000,25000,25000,200,200,163832,2521064,700667c8990ddc193cd8f9daf20597bee570426eef06cc146d2f96c3bcf854f4,False
200,4.0,1,building_seed4,50000,25000,25000,200,200,163832,2521064,e4a41a344f5c0d7f07ccc61806231be014ed7558f480fa05350add70dac8231e,False
100,3.0,0,building_seed3,50000,25000,25000,100,100,68124,1269603,5cb2b65c0e8fce4804e54806ea737236b3b7cbb84db853a10366a96faf791421,False
100,3.0,1,building_seed3,50000,25000,25000,100,100,68124,1269603,d604d40d01863cc3a77e5b4f723082fcbab4d36cbd3d46d0861cd045a1011310,False
100,4.0,0,building_seed4,50000,25000,25000,100,100,98627,1241019,5a3467b0d7997db4e570970c5e3c1fcd8825cda60da41c8d26581b96e6aab53d,False
100,4.0,1,building_seed4,50000,25000,25000,100,100,98627,1241019,60bf7779e2408b65d5302414190a48edd16d27b6a31241e26f6a09b55d3a06b8,False
50,3.0,0,building_seed3,50000,25000,25000,50,50,35840,602820,84d705a3167217a8c6737ad0d47096ca8ed14afba08119de368202c8f7dea6c2,False
50,3.0,1,building_seed3,50000,25000,25000,50,50,35840,602820,15170f212756d8f1078c836def030e72563204ac77195dfa01971a5a3aed742f,False
50,4.0,0,building_seed4,50000,25000,25000,50,50,66886,584407,e8aaff6247e47b7ca41142de9a39cfa2dd022335bf9c574b6b64ef5b01ce8e9b,False
50,4.0,1,building_seed4,50000,25000,25000,50,50,66886,584407,99c6c99fb610d5f920041b186089cb383a73c817780563b88f7dda33979a9db2,False
