building_seed,row_seed,K,context_rows,anomalies,normals,anomaly_rate,full_anomalies,full_normals,observed_building_count,raw_index_sha256,meter_composition_json
1,0,50,10000,5000,5000,0.5,38364,647863,50,0e686a234081c4fbcb7193dfd552ad367988dc467b4e7500bb9cbe2da25a8c9c,"{""0"":{""anomalies"":1884,""anomaly_rate"":0.39730071699704766,""rows"":4742},""1"":{""anomalies"":2680,""anomaly_rate"":0.7304442627418916,""rows"":3669},""2"":{""anomalies"":304,""anomaly_rate"":0.255677039529016,""rows"":1189},""3"":{""anomalies"":132,""anomaly_rate"":0.33,""rows"":400}}"
1,0,100,10000,5000,5000,0.5,88436,1259831,100,f1823b66baf19163853e210710105a2ff6b72a614dee55e665f1a7d8cafbd519,"{""0"":{""anomalies"":2099,""anomaly_rate"":0.40544717017577747,""rows"":5177},""1"":{""anomalies"":2450,""anomaly_rate"":0.7388419782870929,""rows"":3316},""2"":{""anomalies"":352,""anomaly_rate"":0.3018867924528302,""rows"":1166},""3"":{""anomalies"":99,""anomaly_rate"":0.2903225806451613,""rows"":341}}"
1,0,200,10000,5000,5000,0.5,194498,2619496,200,93fdf0d942310ee093e00af88a3c10774b5f9e62071d175d1e6ed59793d8cbb5,"{""0"":{""anomalies"":2044,""anomaly_rate"":0.40467234211047315,""rows"":5051},""1"":{""anomalies"":1943,""anomaly_rate"":0.6663237311385459,""rows"":2916},""2"":{""anomalies"":835,""anomaly_rate"":0.5030120481927711,""rows"":1660},""3"":{""anomalies"":178,""anomaly_rate"":0.4772117962466488,""rows"":373}}"
1,0,300,10000,5000,5000,0.5,300261,3944851,300,33be5134db57a8d00be823d4eee1f8adb5df2f451cdf3148bc5777f4db799524,"{""0"":{""anomalies"":2215,""anomaly_rate"":0.42571593311551026,""rows"":5203},""1"":{""anomalies"":1895,""anomaly_rate"":0.6595892794987818,""rows"":2873},""2"":{""anomalies"":659,""anomaly_rate"":0.4560553633217993,""rows"":1445},""3"":{""anomalies"":231,""anomaly_rate"":0.4822546972860125,""rows"":479}}"
1,0,400,10000,5000,5000,0.5,389999,5268123,400,35d7a9b928d9a67e0953016c55364e4ec3f15e281d6249fa61eae6054e6ceb28,"{""0"":{""anomalies"":2332,""anomaly_rate"":0.4373593398349587,""rows"":5332},""1"":{""anomalies"":1742,""anomaly_rate"":0.6348396501457726,""rows"":2744},""2"":{""anomalies"":637,""anomaly_rate"":0.4739583333333333,""rows"":1344},""3"":{""anomalies"":289,""anomaly_rate"":0.4982758620689655,""rows"":580}}"
1,1,50,10000,5000,5000,0.5,38364,647863,50,67c4babcef3376411ca18c2ee48762a041dd257d682a7e3d6a7d14f75a8e69be,"{""0"":{""anomalies"":1928,""anomaly_rate"":0.4060657118786858,""rows"":4748},""1"":{""anomalies"":2644,""anomaly_rate"":0.7301850317591826,""rows"":3621},""2"":{""anomalies"":283,""anomaly_rate"":0.2336911643270025,""rows"":1211},""3"":{""anomalies"":145,""anomaly_rate"":0.34523809523809523,""rows"":420}}"
1,1,100,10000,5000,5000,0.5,88436,1259831,100,0cc3bbb573eec26c67c5b9486e1bd885724099362ab3338ad913e83f2fc594f3,"{""0"":{""anomalies"":2082,""anomaly_rate"":0.40348837209302324,""rows"":5160},""1"":{""anomalies"":2428,""anomaly_rate"":0.7304452466907341,""rows"":3324},""2"":{""anomalies"":366,""anomaly_rate"":0.3157894736842105,""rows"":1159},""3"":{""anomalies"":124,""anomaly_rate"":0.3473389355742297,""rows"":357}}"
1,1,200,10000,5000,5000,0.5,194498,2619496,200,58102f32f150381530ff9c0b7ae52b139457e7dab07d2568e012a64af7edc6c3,"{""0"":{""anomalies"":2070,""anomaly_rate"":0.40868706811451133,""rows"":5065},""1"":{""anomalies"":1965,""anomaly_rate"":0.6738683127572016,""rows"":2916},""2"":{""anomalies"":782,""anomaly_rate"":0.4905897114178168,""rows"":1594},""3"":{""anomalies"":183,""anomaly_rate"":0.43058823529411766,""rows"":425}}"
1,1,300,10000,5000,5000,0.5,300261,3944851,300,063ab8199af783fff07ace3682a9d893fb6b78830a57f01649701fa9a919ced3,"{""0"":{""anomalies"":2247,""anomaly_rate"":0.42783701447067785,""rows"":5252},""1"":{""anomalies"":1870,""anomaly_rate"":0.650887573964497,""rows"":2873},""2"":{""anomalies"":666,""anomaly_rate"":0.4621790423317141,""rows"":1441},""3"":{""anomalies"":217,""anomaly_rate"":0.5,""rows"":434}}"
1,1,400,10000,5000,5000,0.5,389999,5268123,400,13a163820bea2e34c0e1e0e1a7c601345e85b56f0e588878d131ff31997111e6,"{""0"":{""anomalies"":2407,""anomaly_rate"":0.44957041464325737,""rows"":5354},""1"":{""anomalies"":1691,""anomaly_rate"":0.621234386480529,""rows"":2722},""2"":{""anomalies"":619,""anomaly_rate"":0.4585185185185185,""rows"":1350},""3"":{""anomalies"":283,""anomaly_rate"":0.4930313588850174,""rows"":574}}"
2,0,50,10000,5000,5000,0.5,55464,749989,50,5af020328e581459520e0d1203489350a543e5b11a931358b935f6d2fbae1348,"{""0"":{""anomalies"":3060,""anomaly_rate"":0.5405405405405406,""rows"":5661},""1"":{""anomalies"":1396,""anomaly_rate"":0.5444617784711389,""rows"":2564},""2"":{""anomalies"":277,""anomaly_rate"":0.256007393715342,""rows"":1082},""3"":{""anomalies"":267,""anomaly_rate"":0.3852813852813853,""rows"":693}}"
2,0,100,10000,5000,5000,0.5,106229,1446547,100,f5b47ae383afe6108e2ce5db40c27f72e25727d6dcbc2ffe36375e596c764620,"{""0"":{""anomalies"":2903,""anomaly_rate"":0.5231573256442602,""rows"":5549},""1"":{""anomalies"":1643,""anomaly_rate"":0.5736731843575419,""rows"":2864},""2"":{""anomalies"":260,""anomaly_rate"":0.2584493041749503,""rows"":1006},""3"":{""anomalies"":194,""anomaly_rate"":0.33390705679862304,""rows"":581}}"
2,0,200,10000,5000,5000,0.5,212589,2728412,200,22a0f987ac356e8cae25f75d4d20deaa3f50c25c854700efa11c08489b592f96,"{""0"":{""anomalies"":2699,""anomaly_rate"":0.4886836864023176,""rows"":5523},""1"":{""anomalies"":1548,""anomaly_rate"":0.5937859608745685,""rows"":2607},""2"":{""anomalies"":460,""anomaly_rate"":0.38397328881469117,""rows"":1198},""3"":{""anomalies"":293,""anomaly_rate"":0.43601190476190477,""rows"":672}}"
2,0,300,10000,5000,5000,0.5,310765,3912545,300,bfea2e18d0e5e3cf4c94109981dcf4bb1739ebf8aae629eae2b2a584336493ae,"{""0"":{""anomalies"":2750,""anomaly_rate"":0.47967905110762254,""rows"":5733},""1"":{""anomalies"":1553,""anomaly_rate"":0.6017047655947307,""rows"":2581},""2"":{""anomalies"":387,""anomaly_rate"":0.369980879541109,""rows"":1046},""3"":{""anomalies"":310,""anomaly_rate"":0.484375,""rows"":640}}"
2,0,400,10000,5000,5000,0.5,385381,5308677,400,f280ae817e1839e0b978ada1c5412354080ab5be1c8df9791b3a8f6e79c3e4fa,"{""0"":{""anomalies"":2518,""anomaly_rate"":0.4593214155417731,""rows"":5482},""1"":{""anomalies"":1507,""anomaly_rate"":0.5933070866141732,""rows"":2540},""2"":{""anomalies"":630,""anomaly_rate"":0.47547169811320755,""rows"":1325},""3"":{""anomalies"":345,""anomaly_rate"":0.5283307810107197,""rows"":653}}"
2,1,50,10000,5000,5000,0.5,55464,749989,50,fdeff75e8d658c6f9962ff408f76bfd93ebbb3c93494a84b41518ddff41121ca,"{""0"":{""anomalies"":3122,""anomaly_rate"":0.544281729428173,""rows"":5736},""1"":{""anomalies"":1371,""anomaly_rate"":0.5410418310970797,""rows"":2534},""2"":{""anomalies"":273,""anomaly_rate"":0.2468354430379747,""rows"":1106},""3"":{""anomalies"":234,""anomaly_rate"":0.375,""rows"":624}}"
2,1,100,10000,5000,5000,0.5,106229,1446547,100,4c088cd1d1804cc6cf4b925251de879496aacead5a1d10bb196ae9c9abfe0641,"{""0"":{""anomalies"":2855,""anomaly_rate"":0.5245269153040603,""rows"":5443},""1"":{""anomalies"":1688,""anomaly_rate"":0.5712351945854484,""rows"":2955},""2"":{""anomalies"":245,""anomaly_rate"":0.24623115577889448,""rows"":995},""3"":{""anomalies"":212,""anomaly_rate"":0.34925864909390447,""rows"":607}}"
2,1,200,10000,5000,5000,0.5,212589,2728412,200,317935e72fc8e1222088f317e75de5aeb86255aaca38f83773cf72d9e9aa9b46,"{""0"":{""anomalies"":2818,""anomaly_rate"":0.5081139560043274,""rows"":5546},""1"":{""anomalies"":1397,""anomaly_rate"":0.5561305732484076,""rows"":2512},""2"":{""anomalies"":469,""anomaly_rate"":0.3719270420301348,""rows"":1261},""3"":{""anomalies"":316,""anomaly_rate"":0.46402349486049926,""rows"":681}}"
2,1,300,10000,5000,5000,0.5,310765,3912545,300,9b2f1973ab7e83d1b3abc10ba4be93a5d6061ac83ef9c9517f01ab740a0f50a9,"{""0"":{""anomalies"":2747,""anomaly_rate"":0.48024475524475524,""rows"":5720},""1"":{""anomalies"":1466,""anomaly_rate"":0.5737769080234834,""rows"":2555},""2"":{""anomalies"":460,""anomaly_rate"":0.43273753527751646,""rows"":1063},""3"":{""anomalies"":327,""anomaly_rate"":0.49395770392749244,""rows"":662}}"
2,1,400,10000,5000,5000,0.5,385381,5308677,400,c4dae28e093a5f835db8636158f7ca0bbb64f011fe21d3249ed394f312a203cd,"{""0"":{""anomalies"":2461,""anomaly_rate"":0.4546462220580085,""rows"":5413},""1"":{""anomalies"":1545,""anomaly_rate"":0.6025741029641186,""rows"":2564},""2"":{""anomalies"":608,""anomaly_rate"":0.46590038314176246,""rows"":1305},""3"":{""anomalies"":386,""anomaly_rate"":0.5376044568245125,""rows"":718}}"
3,0,50,10000,5000,5000,0.5,35840,602820,50,f8fe0d4ce4b969b5abde3bf405e92cde812758fa8d21e3f3ff812c99660d2239,"{""0"":{""anomalies"":1752,""anomaly_rate"":0.36160990712074303,""rows"":4845},""1"":{""anomalies"":1711,""anomaly_rate"":0.6590909090909091,""rows"":2596},""2"":{""anomalies"":1498,""anomaly_rate"":0.6360934182590233,""rows"":2355},""3"":{""anomalies"":39,""anomaly_rate"":0.19117647058823528,""rows"":204}}"
3,0,100,10000,5000,5000,0.5,68124,1269603,100,679e5de7663e62d4d17fa299fe7d7ae0478afa117bca6f11a88fcd8b2fec5904,"{""0"":{""anomalies"":1801,""anomaly_rate"":0.3722612649855312,""rows"":4838},""1"":{""anomalies"":1839,""anomaly_rate"":0.677098674521355,""rows"":2716},""2"":{""anomalies"":862,""anomaly_rate"":0.5265729993891265,""rows"":1637},""3"":{""anomalies"":498,""anomaly_rate"":0.61557478368356,""rows"":809}}"
3,0,200,10000,5000,5000,0.5,141172,2505146,200,47969729d7c154ea8aec6dd4fc735336da595412ace0962a821dec1af2a0e8fe,"{""0"":{""anomalies"":2275,""anomaly_rate"":0.4249159506910721,""rows"":5354},""1"":{""anomalies"":1481,""anomaly_rate"":0.6122364613476643,""rows"":2419},""2"":{""anomalies"":554,""anomaly_rate"":0.4271395528141866,""rows"":1297},""3"":{""anomalies"":690,""anomaly_rate"":0.7419354838709677,""rows"":930}}"
3,0,300,10000,5000,5000,0.5,255949,3717071,300,f20f1ccf898aff77ee8d8cb77f3552d3638b892164fe71608dd204e51c24405b,"{""0"":{""anomalies"":2443,""anomaly_rate"":0.44002161383285304,""rows"":5552},""1"":{""anomalies"":1674,""anomaly_rate"":0.6433512682551883,""rows"":2602},""2"":{""anomalies"":434,""anomaly_rate"":0.3981651376146789,""rows"":1090},""3"":{""anomalies"":449,""anomaly_rate"":0.593915343915344,""rows"":756}}"
3,0,400,10000,5000,5000,0.5,366677,5042850,400,fe4527079827655d0eda91f3e9629b4c555827755fc3ea9a26ff6ae01b6a2ea3,"{""0"":{""anomalies"":2462,""anomaly_rate"":0.4456108597285068,""rows"":5525},""1"":{""anomalies"":1543,""anomaly_rate"":0.6164602477027566,""rows"":2503},""2"":{""anomalies"":553,""anomaly_rate"":0.4551440329218107,""rows"":1215},""3"":{""anomalies"":442,""anomaly_rate"":0.583883751651255,""rows"":757}}"
3,1,50,10000,5000,5000,0.5,35840,602820,50,f2cac6057853257cea17962fe629170b2494ee58d3c5481b7f79c858262ca740,"{""0"":{""anomalies"":1801,""anomaly_rate"":0.36222847948511666,""rows"":4972},""1"":{""anomalies"":1658,""anomaly_rate"":0.6704407602102709,""rows"":2473},""2"":{""anomalies"":1510,""anomaly_rate"":0.6304801670146137,""rows"":2395},""3"":{""anomalies"":31,""anomaly_rate"":0.19375,""rows"":160}}"
3,1,100,10000,5000,5000,0.5,68124,1269603,100,6c25ff2f9dc9bd31bf44f79d15950656ce74988158f9dbfce22abea5503570e7,"{""0"":{""anomalies"":1850,""anomaly_rate"":0.37403962798220786,""rows"":4946},""1"":{""anomalies"":1775,""anomaly_rate"":0.6633034379671151,""rows"":2676},""2"":{""anomalies"":923,""anomaly_rate"":0.5655637254901961,""rows"":1632},""3"":{""anomalies"":452,""anomaly_rate"":0.6058981233243967,""rows"":746}}"
3,1,200,10000,5000,5000,0.5,141172,2505146,200,63b69054a24c18a1ab186ec12fd0b6be46606af9a6dee4a0e0315f7a1df77923,"{""0"":{""anomalies"":2234,""anomaly_rate"":0.41882264716910383,""rows"":5334},""1"":{""anomalies"":1537,""anomaly_rate"":0.614308553157474,""rows"":2502},""2"":{""anomalies"":548,""anomaly_rate"":0.44122383252818037,""rows"":1242},""3"":{""anomalies"":681,""anomaly_rate"":0.7386117136659436,""rows"":922}}"
3,1,300,10000,5000,5000,0.5,255949,3717071,300,20d89e93ea13e499efcc3e296e958289da632b5a542653d82d325268fe331f90,"{""0"":{""anomalies"":2347,""anomaly_rate"":0.43056319941295174,""rows"":5451},""1"":{""anomalies"":1735,""anomaly_rate"":0.6440237564959168,""rows"":2694},""2"":{""anomalies"":450,""anomaly_rate"":0.4225352112676056,""rows"":1065},""3"":{""anomalies"":468,""anomaly_rate"":0.5924050632911393,""rows"":790}}"
3,1,400,10000,5000,5000,0.5,366677,5042850,400,5be1ba26872f33bb273e24ee1507e65192f58bfe0c04b521989485604eeb0e4f,"{""0"":{""anomalies"":2596,""anomaly_rate"":0.458252427184466,""rows"":5665},""1"":{""anomalies"":1489,""anomaly_rate"":0.6006454215409439,""rows"":2479},""2"":{""anomalies"":517,""anomaly_rate"":0.45034843205574915,""rows"":1148},""3"":{""anomalies"":398,""anomaly_rate"":0.5621468926553672,""rows"":708}}"
4,0,50,10000,5000,5000,0.5,66886,584407,50,faea97fff74bee0ac0fc6253662df53fce8ff5cbe314a5fd88c8368e2fd5d34e,"{""0"":{""anomalies"":2339,""anomaly_rate"":0.4099912357581069,""rows"":5705},""1"":{""anomalies"":2006,""anomaly_rate"":0.6955617198335645,""rows"":2884},""2"":{""anomalies"":583,""anomaly_rate"":0.553656220322887,""rows"":1053},""3"":{""anomalies"":72,""anomaly_rate"":0.2011173184357542,""rows"":358}}"
4,0,100,10000,5000,5000,0.5,98627,1241019,100,2fd5a5327d6b3fe60bf4bca1efaabaf0d3efeb1a948d1b8ee5c2848543143053,"{""0"":{""anomalies"":2448,""anomaly_rate"":0.43613041154462856,""rows"":5613},""1"":{""anomalies"":1676,""anomaly_rate"":0.6182220582810771,""rows"":2711},""2"":{""anomalies"":411,""anomaly_rate"":0.4290187891440501,""rows"":958},""3"":{""anomalies"":465,""anomaly_rate"":0.6476323119777159,""rows"":718}}"
4,0,200,10000,5000,5000,0.5,163832,2521064,200,effae3442da75e61ee2fe529b45023d23cc3321557d27eb39fabaa7864332e50,"{""0"":{""anomalies"":2447,""anomaly_rate"":0.43876636184328494,""rows"":5577},""1"":{""anomalies"":1384,""anomaly_rate"":0.5849535080304311,""rows"":2366},""2"":{""anomalies"":756,""anomaly_rate"":0.5466377440347071,""rows"":1383},""3"":{""anomalies"":413,""anomaly_rate"":0.612759643916914,""rows"":674}}"
4,0,300,10000,5000,5000,0.5,262297,3871590,300,3b03bf8a3d1171302e7112e9e4c96d4aef72d7252994b35ac4dfade37db8b2ca,"{""0"":{""anomalies"":2678,""anomaly_rate"":0.4634019726596297,""rows"":5779},""1"":{""anomalies"":1350,""anomaly_rate"":0.5803955288048152,""rows"":2326},""2"":{""anomalies"":659,""anomaly_rate"":0.5096674400618716,""rows"":1293},""3"":{""anomalies"":313,""anomaly_rate"":0.5199335548172758,""rows"":602}}"
4,0,400,10000,5000,5000,0.5,385304,5112246,400,b1364516a45b229e18e179e84c795b8e27ababe40d2b16833dcf0d1fe148fa1c,"{""0"":{""anomalies"":2767,""anomaly_rate"":0.47186221009549795,""rows"":5864},""1"":{""anomalies"":1360,""anomaly_rate"":0.5902777777777778,""rows"":2304},""2"":{""anomalies"":484,""anomaly_rate"":0.4348607367475292,""rows"":1113},""3"":{""anomalies"":389,""anomaly_rate"":0.541029207232267,""rows"":719}}"
4,1,50,10000,5000,5000,0.5,66886,584407,50,fe92f1944af19259a22f711909f111873815ea07b4f9a678e6ef6710daa291e9,"{""0"":{""anomalies"":2402,""anomaly_rate"":0.4130696474634566,""rows"":5815},""1"":{""anomalies"":1997,""anomaly_rate"":0.7051553672316384,""rows"":2832},""2"":{""anomalies"":546,""anomaly_rate"":0.5526315789473685,""rows"":988},""3"":{""anomalies"":55,""anomaly_rate"":0.1506849315068493,""rows"":365}}"
4,1,100,10000,5000,5000,0.5,98627,1241019,100,fd8aef91f17bdfba502562fe0207fe454b86adb53eebcad0fed8dacde29a3d80,"{""0"":{""anomalies"":2436,""anomaly_rate"":0.4378145219266715,""rows"":5564},""1"":{""anomalies"":1678,""anomaly_rate"":0.6201034737620104,""rows"":2706},""2"":{""anomalies"":413,""anomaly_rate"":0.4329140461215933,""rows"":954},""3"":{""anomalies"":473,""anomaly_rate"":0.6095360824742269,""rows"":776}}"
4,1,200,10000,5000,5000,0.5,163832,2521064,200,d10b2e3cd87eb6432fa0999750003088b3bf49f045e5ef1476fd305c90afae3a,"{""0"":{""anomalies"":2475,""anomaly_rate"":0.45073757057002367,""rows"":5491},""1"":{""anomalies"":1390,""anomaly_rate"":0.5760464152507252,""rows"":2413},""2"":{""anomalies"":707,""anomaly_rate"":0.507537688442211,""rows"":1393},""3"":{""anomalies"":428,""anomaly_rate"":0.6088193456614509,""rows"":703}}"
4,1,300,10000,5000,5000,0.5,262297,3871590,300,975bc46ad6cde90008b9e8665f702996c71bcd6e01effd98e1ece1cd74edcb32,"{""0"":{""anomalies"":2610,""anomaly_rate"":0.45918367346938777,""rows"":5684},""1"":{""anomalies"":1390,""anomaly_rate"":0.5835432409739715,""rows"":2382},""2"":{""anomalies"":663,""anomaly_rate"":0.513953488372093,""rows"":1290},""3"":{""anomalies"":337,""anomaly_rate"":0.5232919254658385,""rows"":644}}"
4,1,400,10000,5000,5000,0.5,385304,5112246,400,86d4fbb4bad65a0f3a11d5dc8bd4f718ae36b4061f6643f3ce89220b3887133a,"{""0"":{""anomalies"":2772,""anomaly_rate"":0.48074921956295524,""rows"":5766},""1"":{""anomalies"":1274,""anomaly_rate"":0.5548780487804879,""rows"":2296},""2"":{""anomalies"":547,""anomaly_rate"":0.4562135112593828,""rows"":1199},""3"":{""anomalies"":407,""anomaly_rate"":0.550744248985115,""rows"":739}}"
