building_seed,K,sampling_attempt,attempts_used,building_ids_json,site_counts_json,constraint_pass,reproducibility_digest,meter_0_source_buildings,meter_0_required_minimum,meter_0_constraint_pass,meter_1_source_buildings,meter_1_required_minimum,meter_1_constraint_pass,meter_2_source_buildings,meter_2_required_minimum,meter_2_constraint_pass,meter_3_source_buildings,meter_3_required_minimum,meter_3_constraint_pass
49,50,8,9,"[522, 1214, 284, 1392, 924, 2, 1324, 312, 726, 578, 846, 114, 476, 1190, 784, 232, 1406, 942, 352, 1066, 18, 1262, 1026, 1140, 544, 690, 610, 204, 422, 1442, 890, 818, 1178, 4, 558, 1322, 180, 790, 668, 292, 574, 1402, 984, 1100, 148, 442, 70, 278, 746, 1306]","{""0"": 4, ""1"": 2, ""10"": 1, ""12"": 1, ""13"": 5, ""14"": 4, ""15"": 4, ""2"": 5, ""3"": 9, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}",True,bccdbf180ed11396429c6c90d8be3ce978dc7efc92e6cc9a08137505a953591c,49,21,True,13,6,True,14,7,True,6,5,True
49,100,8,9,"[522, 1214, 284, 1392, 924, 2, 1324, 312, 726, 578, 846, 114, 476, 1190, 784, 232, 1406, 942, 352, 1066, 18, 1262, 1026, 1140, 544, 690, 610, 204, 422, 1442, 890, 818, 1178, 4, 558, 1322, 180, 790, 668, 292, 574, 1402, 984, 1100, 148, 442, 70, 278, 746, 1306, 372, 1122, 804, 1356, 966, 316, 718, 648, 228, 1040, 482, 1138, 48, 1264, 1410, 990, 538, 998, 286, 1104, 136, 386, 666, 652, 870, 66, 1448, 484, 930, 1274, 1146, 208, 320, 762, 1028, 1404, 434, 878, 734, 622, 1212, 94, 172, 344, 1288, 808, 1046, 530, 1090, 1360]","{""0"": 7, ""1"": 3, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 11, ""14"": 7, ""15"": 9, ""2"": 9, ""3"": 19, ""4"": 6, ""5"": 6, ""6"": 3, ""7"": 1, ""8"": 5, ""9"": 8}",True,d61f8e91acd1ae575a6308717a083820207722eb5a5477a16b05e00a7f6344b5,99,50,True,32,14,True,22,15,True,10,7,True
50,10,21,22,"[430, 1074, 210, 1338, 888, 34, 1302, 432, 714, 606]","{""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}",True,ba73f983b60ce68a3b1fea44b2e410d6ab2bc48c52d9e42181cf0f7b98c15f6d,10,2,True,4,2,True,2,2,True,2,2,True
50,20,21,22,"[430, 1074, 210, 1338, 888, 34, 1302, 432, 714, 606, 836, 144, 308, 1094, 772, 200, 1438, 914, 460, 1052]","{""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}",True,0de8db4b899174eeeb9bbec3cc0c900c2af8ef894ce2d217c5c56f0af2ff9a9f,19,11,True,7,5,True,6,3,True,4,3,True
50,50,21,22,"[430, 1074, 210, 1338, 888, 34, 1302, 432, 714, 606, 836, 144, 308, 1094, 772, 200, 1438, 914, 460, 1052, 50, 1316, 1026, 1158, 324, 730, 588, 170, 1434, 548, 988, 834, 1150, 46, 476, 1228, 198, 802, 712, 438, 586, 1334, 996, 1174, 132, 418, 98, 220, 764, 1272]","{""0"": 4, ""1"": 2, ""10"": 1, ""12"": 1, ""13"": 5, ""14"": 4, ""15"": 4, ""2"": 5, ""3"": 9, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}",True,968938f3ca78207f63542ca5472485d108bef9dd83c89c0bd0a2c6ce53850f7d,49,20,True,19,8,True,13,7,True,7,5,True
50,100,21,22,"[430, 1074, 210, 1338, 888, 34, 1302, 432, 714, 606, 836, 144, 308, 1094, 772, 200, 1438, 914, 460, 1052, 50, 1316, 1026, 1158, 324, 730, 588, 170, 1434, 548, 988, 834, 1150, 46, 476, 1228, 198, 802, 712, 438, 586, 1334, 996, 1174, 132, 418, 98, 220, 764, 1272, 318, 1104, 810, 1404, 924, 530, 698, 636, 164, 1068, 420, 1188, 104, 1282, 1436, 932, 360, 1004, 182, 1086, 112, 380, 694, 566, 848, 66, 1368, 426, 982, 1288, 1216, 194, 516, 778, 1032, 1386, 994, 382, 666, 616, 1092, 2, 286, 492, 1318, 854, 1036, 472, 1196, 1336]","{""0"": 7, ""1"": 3, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 11, ""14"": 7, ""15"": 9, ""2"": 9, ""3"": 19, ""4"": 6, ""5"": 6, ""6"": 3, ""7"": 1, ""8"": 5, ""9"": 8}",True,70ab2c83d5fb66c3143a2221a3753caff8f61fbd8d6d9cf7e2c9f710e1fce258,99,50,True,36,20,True,23,14,True,10,8,True
51,10,3,4,"[476, 1144, 284, 1370, 896, 96, 1294, 362, 648, 710]","{""0"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""9"": 1}",True,797f377f4167bad7a236327db1eb9581c5a9d9bc72a97c8066a0360cadf303ca,10,2,True,5,2,True,2,2,True,2,2,True
51,20,3,4,"[476, 1144, 284, 1370, 896, 96, 1294, 362, 648, 710, 824, 114, 528, 1180, 768, 274, 1326, 984, 488, 1056]","{""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 2}",True,d2256dbdbd6441351f41a892a4eae04ba9af8f2a7af7b0dcf0a3d583a508471d,19,11,True,7,6,True,4,3,True,3,3,True
51,50,3,4,"[476, 1144, 284, 1370, 896, 96, 1294, 362, 648, 710, 824, 114, 528, 1180, 768, 274, 1326, 984, 488, 1056, 56, 1244, 1014, 1178, 336, 626, 660, 258, 1388, 500, 990, 856, 1212, 92, 352, 1260, 164, 790, 574, 344, 742, 1340, 930, 1084, 110, 328, 24, 288, 750, 1312]","{""0"": 4, ""1"": 2, ""10"": 1, ""12"": 1, ""13"": 5, ""14"": 4, ""15"": 4, ""2"": 5, ""3"": 9, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}",True,d867c4fa4dfd6a276ec68211952ecddb7fe6cbf5a41ef1605ec9bae60d2ec80c,47,20,True,18,8,True,8,5,True,6,4,True
51,100,3,4,"[476, 1144, 284, 1370, 896, 96, 1294, 362, 648, 710, 824, 114, 528, 1180, 768, 274, 1326, 984, 488, 1056, 56, 1244, 1014, 1178, 336, 626, 660, 258, 1388, 500, 990, 856, 1212, 92, 352, 1260, 164, 790, 574, 344, 742, 1340, 930, 1084, 110, 328, 24, 288, 750, 1312, 420, 1076, 820, 1412, 944, 408, 616, 674, 244, 1066, 524, 1142, 44, 1224, 1390, 938, 466, 1020, 178, 1184, 140, 386, 620, 700, 814, 82, 1424, 508, 978, 1296, 1096, 256, 564, 762, 1028, 1342, 916, 348, 612, 714, 1130, 36, 252, 400, 1274, 818, 1064, 458, 1188, 1334]","{""0"": 7, ""1"": 3, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 11, ""14"": 7, ""15"": 9, ""2"": 9, ""3"": 19, ""4"": 6, ""5"": 6, ""6"": 3, ""7"": 1, ""8"": 5, ""9"": 8}",True,f1b28facfbdab05b9bb511ade60101a248cafe0bc86fad9791028676c6cb5ba4,97,48,True,35,19,True,18,9,True,11,7,True
