building_seed,K,context_rows,anomalies,normals,anomaly_rate,full_anomalies,full_normals,observed_building_count,raw_index_sha256,selected_building_sha256,meter_composition_json
47,20,10000,5000,5000,0.5,14235,310785,20,b8db1f2fc9f6a7d5ae8e9bd426cffa801771e777f316bf685b1e680075b68030,b7c0e4ee7fd8ad6c0dbc3c6090945f49b5585c9feaf31207378c56a06646cdee,"{""0"":{""anomalies"":1953,""anomaly_rate"":0.42236159169550175,""rows"":4624},""1"":{""anomalies"":544,""anomaly_rate"":0.33559531153608885,""rows"":1621},""2"":{""anomalies"":631,""anomaly_rate"":0.4016549968173138,""rows"":1571},""3"":{""anomalies"":1872,""anomaly_rate"":0.8571428571428571,""rows"":2184}}"
47,50,25000,12500,12500,0.5,53673,753313,50,be4b168a723d459d0eae3685175f2a85e03955782dd9f6de574291e180107ad5,25d82605face7a351d5b26aed924de1a1019975d1e9accb7647955905b2a13e0,"{""0"":{""anomalies"":4642,""anomaly_rate"":0.4111967401895651,""rows"":11289},""1"":{""anomalies"":3469,""anomaly_rate"":0.5368307025688641,""rows"":6462},""2"":{""anomalies"":1579,""anomaly_rate"":0.4571511291256514,""rows"":3454},""3"":{""anomalies"":2810,""anomaly_rate"":0.7404479578392622,""rows"":3795}}"
47,100,50000,25000,25000,0.5,101053,1436122,100,4db3b0d2c1ea1519cc628387470fb5b6bbbef7ae98390ed17fa65cf07d678b9c,8ef855794489ecd0a9ae8049084222eef19a222dd2e117281cbffabb230302c7,"{""0"":{""anomalies"":9043,""anomaly_rate"":0.39516692885859117,""rows"":22884},""1"":{""anomalies"":8110,""anomaly_rate"":0.5934870106110501,""rows"":13665},""2"":{""anomalies"":2552,""anomaly_rate"":0.40805884234090184,""rows"":6254},""3"":{""anomalies"":5295,""anomaly_rate"":0.7357232180075032,""rows"":7197}}"
48,10,5000,2500,2500,0.5,17418,120278,10,b4e6c6c28358130775ad6183160a83ef0bad844501ec0d3db4771680ea7dbbf4,45b4147fc26501c19ae57ba8ce0556ddca404e04d42ad29903249b5d14973c1e,"{""0"":{""anomalies"":540,""anomaly_rate"":0.2598652550529355,""rows"":2078},""1"":{""anomalies"":1182,""anomaly_rate"":0.7552715654952077,""rows"":1565},""2"":{""anomalies"":718,""anomaly_rate"":0.7440414507772021,""rows"":965},""3"":{""anomalies"":60,""anomaly_rate"":0.15306122448979592,""rows"":392}}"
48,20,10000,5000,5000,0.5,29070,260647,20,d078e8d5f7962ad3de3b1183216fa5386d6a416795a3d9f2b8299d3b95d6bab3,9bae6dfd38036697fa4ad266c36cb0d43442e182c6b4b71556a878e4b5b69dec,"{""0"":{""anomalies"":1143,""anomaly_rate"":0.27662149080348497,""rows"":4132},""1"":{""anomalies"":1451,""anomaly_rate"":0.592486729277256,""rows"":2449},""2"":{""anomalies"":1112,""anomaly_rate"":0.6293152235427278,""rows"":1767},""3"":{""anomalies"":1294,""anomaly_rate"":0.7832929782082324,""rows"":1652}}"
48,50,25000,12500,12500,0.5,75617,589740,50,3160b49cbec8011c0642a6b0e40e41f69be6550b8fb8b79c9addcebd6adc16ed,7cc9439fcee94144fab468a5e5c6250e8ad4ae6ef5d9141d32feaab6319f43e1,"{""0"":{""anomalies"":4927,""anomaly_rate"":0.38417153996101366,""rows"":12825},""1"":{""anomalies"":4849,""anomaly_rate"":0.6821890827236916,""rows"":7108},""2"":{""anomalies"":1357,""anomaly_rate"":0.4569023569023569,""rows"":2970},""3"":{""anomalies"":1367,""anomaly_rate"":0.6518836432999523,""rows"":2097}}"
48,100,50000,25000,25000,0.5,105416,1286947,100,835aefff47f13cef57add134d36f49342807f77cdadb55240a79f1b038de6b56,24b41b27a8f25d55392ff9d90aab9c62dc5d93101da77e64007fddbba75057a0,"{""0"":{""anomalies"":11741,""anomaly_rate"":0.43278410556968555,""rows"":27129},""1"":{""anomalies"":7817,""anomaly_rate"":0.63091202582728,""rows"":12390},""2"":{""anomalies"":2368,""anomaly_rate"":0.39037256841411144,""rows"":6066},""3"":{""anomalies"":3074,""anomaly_rate"":0.6962627406568517,""rows"":4415}}"
49,10,5000,2500,2500,0.5,9829,153451,10,74832c456559cc31e63bb413044b1a63f89d7fd531b32305988a4aba7a9aa993,b001db0800e3e3817aae9cbf739302e10ff84a9eb4420f654fc05c31ebbb4c41,"{""0"":{""anomalies"":1057,""anomaly_rate"":0.4415204678362573,""rows"":2394},""1"":{""anomalies"":1096,""anomaly_rate"":0.685428392745466,""rows"":1599},""2"":{""anomalies"":105,""anomaly_rate"":0.19886363636363635,""rows"":528},""3"":{""anomalies"":242,""anomaly_rate"":0.5052192066805845,""rows"":479}}"
49,20,10000,5000,5000,0.5,13190,287450,20,b0c8a5ce2cd8184d01168d81455a13846685dbc395863d4e9c8e356efdf2a5a7,e9adc177bf5f32cf35839b704745ab6541984b564eb9f2b1ae2e55b610981b6f,"{""0"":{""anomalies"":2593,""anomaly_rate"":0.4724854227405248,""rows"":5488},""1"":{""anomalies"":1701,""anomaly_rate"":0.7222929936305732,""rows"":2355},""2"":{""anomalies"":334,""anomaly_rate"":0.2781015820149875,""rows"":1201},""3"":{""anomalies"":372,""anomaly_rate"":0.3891213389121339,""rows"":956}}"
49,50,25000,12500,12500,0.5,45204,657436,50,3ae24f005bff5f7cc8b0189ccc744d6e1a2aeb710627ab8cc3027efe1a738d65,bccdbf180ed11396429c6c90d8be3ce978dc7efc92e6cc9a08137505a953591c,"{""0"":{""anomalies"":7413,""anomaly_rate"":0.4955545156761816,""rows"":14959},""1"":{""anomalies"":4213,""anomaly_rate"":0.6945268710847345,""rows"":6066},""2"":{""anomalies"":414,""anomaly_rate"":0.16077669902912622,""rows"":2575},""3"":{""anomalies"":460,""anomaly_rate"":0.32857142857142857,""rows"":1400}}"
49,100,50000,25000,25000,0.5,94675,1296132,100,5401b5f565b8b8bde05792655782d22e552169b77b2dcd8b051297caa9def93a,d61f8e91acd1ae575a6308717a083820207722eb5a5477a16b05e00a7f6344b5,"{""0"":{""anomalies"":11740,""anomaly_rate"":0.4310471434865619,""rows"":27236},""1"":{""anomalies"":8666,""anomaly_rate"":0.6468612375905053,""rows"":13397},""2"":{""anomalies"":2307,""anomaly_rate"":0.41144997324772603,""rows"":5607},""3"":{""anomalies"":2287,""anomaly_rate"":0.6082446808510639,""rows"":3760}}"
50,10,5000,2500,2500,0.5,10804,144579,10,a200dd7a7b5b1b47c4af3b7915ddbb19d3e67e2a02825544c168932fc42a3057,ba73f983b60ce68a3b1fea44b2e410d6ab2bc48c52d9e42181cf0f7b98c15f6d,"{""0"":{""anomalies"":1071,""anomaly_rate"":0.43029329047810366,""rows"":2489},""1"":{""anomalies"":252,""anomaly_rate"":0.294049008168028,""rows"":857},""2"":{""anomalies"":76,""anomaly_rate"":0.2222222222222222,""rows"":342},""3"":{""anomalies"":1101,""anomaly_rate"":0.8391768292682927,""rows"":1312}}"
50,20,10000,5000,5000,0.5,27499,282845,20,5c15fc48fab3383696d1da8b6fb0a9fa529bb58ec8b53671e4ed0c290df45e71,0de8db4b899174eeeb9bbec3cc0c900c2af8ef894ce2d217c5c56f0af2ff9a9f,"{""0"":{""anomalies"":1937,""anomaly_rate"":0.41655913978494624,""rows"":4650},""1"":{""anomalies"":351,""anomaly_rate"":0.24391938846421127,""rows"":1439},""2"":{""anomalies"":530,""anomaly_rate"":0.3943452380952381,""rows"":1344},""3"":{""anomalies"":2182,""anomaly_rate"":0.8500194779898714,""rows"":2567}}"
50,50,25000,12500,12500,0.5,56329,697516,50,c370a14d9f00c751476cfb8793730c6053057fce95ddbe7e1429d5cd1d344f7e,968938f3ca78207f63542ca5472485d108bef9dd83c89c0bd0a2c6ce53850f7d,"{""0"":{""anomalies"":6394,""anomaly_rate"":0.4753903345724907,""rows"":13450},""1"":{""anomalies"":1840,""anomaly_rate"":0.4021857923497268,""rows"":4575},""2"":{""anomalies"":1267,""anomaly_rate"":0.40582959641255606,""rows"":3122},""3"":{""anomalies"":2999,""anomaly_rate"":0.7783545289384894,""rows"":3853}}"
50,100,50000,25000,25000,0.5,95740,1333030,100,802917fce73e1c3f49ee66707ff2123964bb305be6882af4db3d9eadc81786b6,70ab2c83d5fb66c3143a2221a3753caff8f61fbd8d6d9cf7e2c9f710e1fce258,"{""0"":{""anomalies"":13360,""anomaly_rate"":0.47382607462051357,""rows"":28196},""1"":{""anomalies"":5634,""anomaly_rate"":0.5118095930232558,""rows"":11008},""2"":{""anomalies"":2388,""anomaly_rate"":0.41059147180192573,""rows"":5816},""3"":{""anomalies"":3618,""anomaly_rate"":0.7265060240963855,""rows"":4980}}"
51,10,5000,2500,2500,0.5,11351,152271,10,8f54ded6f4b9a0129c1873266a1d636eb357a704ac8010059e92932fc4204970,797f377f4167bad7a236327db1eb9581c5a9d9bc72a97c8066a0360cadf303ca,"{""0"":{""anomalies"":1034,""anomaly_rate"":0.43083333333333335,""rows"":2400},""1"":{""anomalies"":1100,""anomaly_rate"":0.655933214072749,""rows"":1677},""2"":{""anomalies"":202,""anomaly_rate"":0.42083333333333334,""rows"":480},""3"":{""anomalies"":164,""anomaly_rate"":0.37020316027088035,""rows"":443}}"
51,20,10000,5000,5000,0.5,13799,264148,20,147c71c1027b9628bc60c3de21ac57c26a899be3e2f01cc172b27b387a283dde,d2256dbdbd6441351f41a892a4eae04ba9af8f2a7af7b0dcf0a3d583a508471d,"{""0"":{""anomalies"":2543,""anomaly_rate"":0.46489945155393053,""rows"":5470},""1"":{""anomalies"":1828,""anomaly_rate"":0.6580273578113751,""rows"":2778},""2"":{""anomalies"":348,""anomaly_rate"":0.355464759959142,""rows"":979},""3"":{""anomalies"":281,""anomaly_rate"":0.36351875808538164,""rows"":773}}"
51,50,25000,12500,12500,0.5,39285,632494,50,3ef9bb3bfe83ccd26a98c43b13a72209aa28e0414c49af5f35c03b3bafada4bc,d867c4fa4dfd6a276ec68211952ecddb7fe6cbf5a41ef1605ec9bae60d2ec80c,"{""0"":{""anomalies"":7718,""anomaly_rate"":0.5085996705107084,""rows"":15175},""1"":{""anomalies"":3437,""anomaly_rate"":0.5607766356665035,""rows"":6129},""2"":{""anomalies"":442,""anomaly_rate"":0.24929498025944727,""rows"":1773},""3"":{""anomalies"":903,""anomaly_rate"":0.46957878315132606,""rows"":1923}}"
51,100,50000,25000,25000,0.5,97175,1255284,100,1fbb8598fd3c6e650dff658e531b62196a609079935c79e8aa12c98b5a15f8a3,f1b28facfbdab05b9bb511ade60101a248cafe0bc86fad9791028676c6cb5ba4,"{""0"":{""anomalies"":11181,""anomaly_rate"":0.41763783056925147,""rows"":26772},""1"":{""anomalies"":10062,""anomaly_rate"":0.6734939759036145,""rows"":14940},""2"":{""anomalies"":2333,""anomaly_rate"":0.4657616290676782,""rows"":5009},""3"":{""anomalies"":1424,""anomaly_rate"":0.4342787435193657,""rows"":3279}}"
